Date	Price	Open	High	Low	Vol.	Change %
10-08-16	379.5	379.5	379.5	379.5		0.00%
09-08-16	379.5	379.5	379.5	379.5		0.00%
08-08-16	379.5	379.5	379.5	379.5		0.00%
05-08-16	379.5	379.5	379.5	379.5		0.00%
04-08-16	379.5	379.5	379.5	379.5		0.00%
03-08-16	379.5	379.5	379.5	379.5		0.00%
02-08-16	379.5	379.5	379.5	379.5		0.00%
01-08-16	379.5	379.5	379.5	379.5		0.00%
29-07-16	379.5	379.5	379.5	379.5		0.00%
28-07-16	379.5	379.5	379.5	379.5		0.00%
27-07-16	379.5	379.5	379.5	379.5		0.00%
26-07-16	379.5	379.5	379.5	379.5		0.00%
25-07-16	379.5	379.5	379.5	379.5		0.00%
22-07-16	379.5	379.5	379.5	379.5		0.00%
21-07-16	379.5	379.5	379.5	379.5		0.00%
20-07-16	379.5	379.5	379.5	379.5		0.00%
19-07-16	379.5	379.5	379.5	379.5		0.00%
18-07-16	379.5	379.5	379.5	379.5		0.00%
15-07-16	379.5	379.5	379.5	379.5		0.00%
14-07-16	379.5	379.5	379.5	379.5		0.00%
13-07-16	379.5	379.5	379.5	379.5		0.00%
12-07-16	379.5	379.5	379.5	379.5		0.00%
11-07-16	379.5	379.5	379.5	379.5		0.00%
08-07-16	379.5	379.5	379.5	379.5		0.00%
07-07-16	379.5	379.5	379.5	379.5		0.00%
06-07-16	379.5	379.5	379.5	379.5		0.00%
05-07-16	379.5	379.5	379.5	379.5		0.00%
04-07-16	379.5	379.5	379.5	379.5		0.00%
01-07-16	379.5	379.5	379.5	379.5		0.00%
30-06-16	379.5	379.5	379.5	379.5		0.00%
29-06-16	379.5	379.5	379.5	379.5		0.00%
28-06-16	379.5	379.5	379.5	379.5		0.00%
27-06-16	379.5	379.5	379.5	379.5		0.00%
24-06-16	379.5	379.5	379.5	379.5		0.00%
23-06-16	379.5	379.5	379.5	379.5		0.00%
22-06-16	379.5	379.5	379.5	379.5		0.00%
21-06-16	379.5	379.5	379.5	379.5		0.00%
20-06-16	379.5	379.5	379.5	379.5		0.00%
17-06-16	379.5	379.5	379.5	379.5		0.00%
16-06-16	379.5	379.5	379.5	379.5		0.00%
15-06-16	379.5	379.5	379.5	379.5		0.00%
14-06-16	379.5	379.5	379.5	379.5		0.00%
13-06-16	379.5	379.5	379.5	379.5		0.00%
10-06-16	379.5	379.5	379.5	379.5		0.00%
09-06-16	379.5	379.5	379.5	379.5		0.00%
08-06-16	379.5	379.5	379.5	379.5		0.00%
07-06-16	379.5	379.5	379.5	379.5		0.00%
06-06-16	379.5	379.5	379.5	379.5		0.00%
03-06-16	379.5	379.5	379.5	379.5		0.00%
02-06-16	379.5	379.5	379.5	379.5		0.00%
01-06-16	379.5	379.5	379.5	379.5		0.00%
31-05-16	379.5	379.5	379.5	379.5		0.00%
30-05-16	379.5	379.5	379.5	379.5		0.00%
27-05-16	379.5	379.5	379.5	379.5		0.00%
26-05-16	379.5	379.5	379.5	379.5		0.00%
25-05-16	379.5	379.5	379.5	379.5		0.00%
24-05-16	379.5	379.5	379.5	379.5		0.00%
23-05-16	379.5	379.5	379.5	379.5		0.00%
20-05-16	379.5	379.5	379.5	379.5		0.00%
19-05-16	379.5	379.5	379.5	379.5		0.00%
18-05-16	379.5	379.5	379.5	379.5		0.00%
17-05-16	379.5	379.5	379.5	379.5		0.00%
16-05-16	379.5	379.5	379.5	379.5		0.00%
13-05-16	379.5	379.5	379.5	379.5		0.00%
12-05-16	379.5	379.5	379.5	379.5		0.00%
11-05-16	379.5	379.5	379.5	379.5		0.00%
10-05-16	379.5	379.5	379.5	379.5		0.00%
09-05-16	379.5	379.5	379.5	379.5		0.00%
06-05-16	379.5	379.5	379.5	379.5		0.00%
05-05-16	379.5	379.5	379.5	379.5		0.00%
04-05-16	379.5	379.5	379.5	379.5		0.00%
03-05-16	379.5	379.5	379.5	379.5		0.00%
02-05-16	379.5	379.5	379.5	379.5		0.00%
29-04-16	379.5	379.5	379.5	379.5		0.00%
28-04-16	379.5	379.5	379.5	379.5		0.00%
27-04-16	379.5	379.5	379.5	379.5		0.00%
26-04-16	379.5	379.5	379.5	379.5		0.00%
25-04-16	379.5	379.5	379.5	379.5		0.00%
22-04-16	379.5	379.5	379.5	379.5		0.00%
21-04-16	379.5	379.5	379.5	379.5		0.00%
20-04-16	379.5	379.5	379.5	379.5		0.00%
19-04-16	379.5	379.5	379.5	379.5		0.00%
18-04-16	379.5	379.5	379.5	379.5		0.00%
15-04-16	379.5	379.5	379.5	379.5		0.00%
14-04-16	379.5	379.5	379.5	379.5		0.00%
13-04-16	379.5	379.5	379.5	379.5		0.00%
12-04-16	379.5	379.5	379.5	379.5		0.00%
11-04-16	379.5	379.5	379.5	379.5		0.00%
08-04-16	379.5	379.5	379.5	379.5		0.00%
07-04-16	379.5	379.5	379.5	379.5		0.00%
06-04-16	379.5	379.5	379.5	379.5		0.00%
05-04-16	379.5	379.5	379.5	379.5		0.00%
04-04-16	379.5	379.5	379.5	379.5		0.00%
01-04-16	379.5	379.5	379.5	379.5		0.00%
31-03-16	379.5	379.5	379.5	379.5		0.00%
30-03-16	379.5	379.5	379.5	379.5		0.00%
29-03-16	379.5	379.5	379.5	379.5		0.00%
28-03-16	379.5	379.5	379.5	379.5		0.00%
25-03-16	379.5	379.5	379.5	379.5		0.00%
24-03-16	379.5	379.5	379.5	379.5		0.00%
23-03-16	379.5	379.5	379.5	379.5		0.00%
22-03-16	379.5	379.5	379.5	379.5		0.00%
21-03-16	379.5	379.5	379.5	379.5		0.00%
18-03-16	379.5	379.5	379.5	379.5		0.00%
17-03-16	379.5	379.5	379.5	379.5		0.00%
16-03-16	379.5	379.5	379.5	379.5		0.00%
15-03-16	379.5	379.5	379.5	379.5		0.00%
14-03-16	379.5	379.5	379.5	379.5		0.00%
11-03-16	379.5	379.5	379.5	379.5		0.00%
10-03-16	379.5	379.5	379.5	379.5		0.00%
09-03-16	379.5	379.5	379.5	379.5		0.00%
08-03-16	379.5	379.5	379.5	379.5		0.00%
07-03-16	379.5	379.5	379.5	379.5		0.00%
04-03-16	379.5	379.5	379.5	379.5		0.00%
03-03-16	379.5	379.5	379.5	379.5		0.00%
02-03-16	379.5	379.5	379.5	379.5		0.00%
01-03-16	379.5	379.5	379.5	379.5		0.00%
29-02-16	379.5	379.5	379.5	379.5		0.00%
26-02-16	379.5	379.5	379.5	379.5		0.00%
25-02-16	379.5	379.5	379.5	379.5		0.00%
24-02-16	379.5	379.5	379.5	379.5		0.00%
23-02-16	379.5	379.5	379.5	379.5		0.00%
22-02-16	379.5	379.5	379.5	379.5		0.00%
19-02-16	379.5	379.5	379.5	379.5		0.00%
18-02-16	379.5	379.5	379.5	379.5		0.00%
17-02-16	379.5	379.5	379.5	379.5		0.00%
16-02-16	379.5	379.5	379.5	379.5		0.00%
15-02-16	379.5	379.5	379.5	379.5		0.00%
12-02-16	379.5	379.5	379.5	379.5		0.00%
11-02-16	379.5	379.5	379.5	379.5		0.00%
10-02-16	379.5	379.5	379.5	379.5		0.00%
09-02-16	379.5	379.5	379.5	379.5		0.00%
08-02-16	379.5	379.5	379.5	379.5		0.00%
05-02-16	379.5	379.5	379.5	379.5		0.00%
04-02-16	379.5	379.5	379.5	379.5		0.00%
03-02-16	379.5	379.5	379.5	379.5		0.00%
02-02-16	379.5	379.5	379.5	379.5		0.00%
01-02-16	379.5	379.5	379.5	379.5		0.00%
29-01-16	379.5	379.5	379.5	379.5		0.00%
28-01-16	379.5	379.5	379.5	379.5		0.00%
27-01-16	379.5	379.5	379.5	379.5		0.00%
26-01-16	379.5	379.5	379.5	379.5		0.00%
25-01-16	379.5	379.5	379.5	379.5		0.00%
22-01-16	379.5	379.5	379.5	379.5		0.00%
21-01-16	379.5	379.5	379.5	379.5		0.00%
20-01-16	379.5	379.5	379.5	379.5		0.00%
19-01-16	379.5	379.5	379.5	379.5		0.00%
18-01-16	379.5	379.5	379.5	379.5		0.00%
15-01-16	379.5	379.5	379.5	379.5		0.00%
14-01-16	379.5	379.5	379.5	379.5		0.00%
13-01-16	379.5	379.5	379.5	379.5		0.00%
12-01-16	379.5	379.5	379.5	379.5		0.00%
11-01-16	379.5	379.5	379.5	379.5		0.00%
08-01-16	379.5	379.5	379.5	379.5		0.00%
07-01-16	379.5	379.5	379.5	379.5		0.00%
06-01-16	379.5	379.5	379.5	379.5		0.00%
05-01-16	379.5	379.5	379.5	379.5		0.00%
04-01-16	379.5	379.5	379.5	379.5		0.00%
01-01-16	379.5	379.5	379.5	379.5		0.00%
31-12-15	379.5	379.5	379.5	379.5		0.00%
30-12-15	379.5	379.5	379.5	379.5		0.00%
29-12-15	379.5	379.5	379.5	379.5		0.00%
28-12-15	379.5	379.5	379.5	379.5		0.00%
25-12-15	379.5	379.5	379.5	379.5		0.00%
24-12-15	379.5	379.5	379.5	379.5		0.00%
23-12-15	379.5	379.5	379.5	379.5		0.00%
22-12-15	379.5	379.5	379.5	379.5		0.00%
21-12-15	379.5	379.5	379.5	379.5		0.00%
18-12-15	379.5	379.5	379.5	379.5		0.00%
17-12-15	379.5	379.5	379.5	379.5		0.00%
16-12-15	379.5	379.5	379.5	379.5		0.00%
15-12-15	379.5	379.5	379.5	379.5		0.00%
14-12-15	379.5	379.5	379.5	379.5		0.00%
11-12-15	379.5	379.5	379.5	379.5		0.00%
10-12-15	379.5	379.5	379.5	379.5		0.00%
09-12-15	379.5	379.5	379.5	379.5		0.00%
08-12-15	379.5	379.5	379.5	379.5		0.00%
07-12-15	379.5	379.5	379.5	379.5		0.00%
04-12-15	379.5	379.5	379.5	379.5		0.00%
03-12-15	379.5	379.5	379.5	379.5		0.00%
02-12-15	379.5	379.5	379.5	379.5		0.00%
01-12-15	379.5	379.5	379.5	379.5		0.00%
30-11-15	379.5	379.5	379.5	379.5		0.00%
27-11-15	379.5	379.5	379.5	379.5		0.00%
26-11-15	379.5	379.5	379.5	379.5		0.00%
25-11-15	379.5	379.5	379.5	379.5		0.00%
24-11-15	379.5	379.5	379.5	379.5		0.00%
23-11-15	379.5	379.5	379.5	379.5		0.00%
20-11-15	379.5	379.5	379.5	379.5		0.00%
19-11-15	379.5	379.5	379.5	379.5		0.00%
18-11-15	379.5	379.5	379.5	379.5		0.00%
17-11-15	379.5	379.5	379.5	379.5		0.00%
16-11-15	379.5	379.5	379.5	379.5		0.00%
13-11-15	379.5	379.5	379.5	379.5		0.00%
12-11-15	379.5	379.5	379.5	379.5		0.00%
11-11-15	379.5	379.5	379.5	379.5		0.00%
10-11-15	379.5	379.5	379.5	379.5		0.00%
09-11-15	379.5	379.5	379.5	379.5		0.00%
06-11-15	379.5	379.5	379.5	379.5		0.00%
05-11-15	379.5	379.5	379.5	379.5		0.00%
04-11-15	379.5	379.5	379.5	379.5		0.00%
03-11-15	379.5	379.5	379.5	379.5		0.00%
02-11-15	379.5	379.5	379.5	379.5		0.00%
30-10-15	379.5	379.5	379.5	379.5		0.00%
29-10-15	379.5	379.5	379.5	379.5		0.00%
28-10-15	379.5	379.5	379.5	379.5		0.00%
27-10-15	379.5	379.5	379.5	379.5		0.00%
26-10-15	379.5	379.5	379.5	379.5		0.00%
23-10-15	379.5	379.5	379.5	379.5		0.00%
22-10-15	379.5	379.5	379.5	379.5		0.00%
21-10-15	379.5	379.5	379.5	379.5		0.00%
20-10-15	379.5	379.5	379.5	379.5		0.00%
19-10-15	379.5	379.5	379.5	379.5		0.00%
16-10-15	379.5	379.5	379.5	379.5		0.00%
15-10-15	379.5	379.5	379.5	379.5		0.00%
14-10-15	379.5	379.5	379.5	379.5		0.00%
13-10-15	379.5	379.5	379.5	379.5		0.00%
